144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Money Saver Finance || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: KDM Titles Searches || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Tao .Jiang Lawyers || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Mr Rick M Cacoutas || Industry (ANZSIC4) code: 6932 || Industry (ANZSIC4) description: Accounting Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: 7Plus || Industry (ANZSIC4) code: 8101 || Industry (ANZSIC4) description: Technical and Vocational Education and Training || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Property Consultant Services Pty Ltd || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Elite Link Group Pty Ltd || Industry (ANZSIC4) code: 9539 || Industry (ANZSIC4) description: Other Personal Services n.e.c. || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Melbourne and Bayside Properties || Industry (ANZSIC4) code: 6720 || Industry (ANZSIC4) description: Real Estate Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Optometry Council Of Australia And New Zealand || Industry (ANZSIC4) code: 9551 || Industry (ANZSIC4) description: Business and Professional Association Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Collection Point || Industry (ANZSIC4) code: 7293 || Industry (ANZSIC4) description: Credit Reporting and Debt Collection Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Best Partners || Industry (ANZSIC4) code: 1611 || Industry (ANZSIC4) description: Printing || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Southern Lending and Investment Services || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Neil Johnson & Associates || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Pikeridge Financial Services || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Plus 6zer0 || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Suttonhill Group Pty Ltd || Industry (ANZSIC4) code: 3019 || Industry (ANZSIC4) description: Other Residential Building Construction || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Indaus Immigration || Industry (ANZSIC4) code: 9539 || Industry (ANZSIC4) description: Other Personal Services n.e.c. || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
